apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +224,Press Esc to close,Esc za izlazak
apps/frappe/frappe/auth.py +195,Not allowed from this IP Address,Ova IP Adresa nije dozvoljena
apps/frappe/frappe/auth.py +209,Login not allowed at this time,Prijava nije dozvoljena u ovom trenutku
apps/frappe/frappe/client.py +63,Can not edit Read Only fields,Can not edit Read Only fields
apps/frappe/frappe/config/desktop.py +60,Installer,Installer
apps/frappe/frappe/config/setup.py +104,Manage uploaded files.,Manage uploaded files.
apps/frappe/frappe/config/setup.py +115,Add / Manage Email Accounts.,Add / Manage Email Accounts.
apps/frappe/frappe/config/setup.py +120,Setup Email Alert based on various criteria.,Setup Email Alert based on various criteria.
apps/frappe/frappe/config/setup.py +125,Standard replies to common queries.,Standard replies to common queries.
apps/frappe/frappe/config/setup.py +137,Drag and Drop tool to build and customize Print Formats.,Drag and Drop tool to build and customize Print Formats.
apps/frappe/frappe/config/setup.py +14,System and Website Users,System and Website Users
apps/frappe/frappe/config/setup.py +142,"Set default format, page size, print style etc.","Set default format, page size, print style etc."
apps/frappe/frappe/config/setup.py +147,Customized HTML Templates for printing transactions.,Customized HTML Templates for printing transactions.
apps/frappe/frappe/config/setup.py +158,Define workflows for forms.,Define workflows for forms.
apps/frappe/frappe/config/setup.py +163,"States for workflow (e.g. Draft, Approved, Cancelled).","States for workflow (e.g. Draft, Approved, Cancelled)."
apps/frappe/frappe/config/setup.py +168,"Actions for workflow (e.g. Approve, Cancel).","Actions for workflow (e.g. Approve, Cancel)."
apps/frappe/frappe/config/setup.py +179,"Change field properties (hide, readonly, permission etc.)","Change field properties (hide, readonly, permission etc.)"
apps/frappe/frappe/config/setup.py +185,Add fields to forms.,Add fields to forms.
apps/frappe/frappe/config/setup.py +19,User Roles,Uloge korisnika
apps/frappe/frappe/config/setup.py +190,Add custom javascript to forms.,Add custom javascript to forms.
apps/frappe/frappe/config/setup.py +195,Add custom forms.,Add custom forms.
